date,no2,so2,o3,pm10,pm25
2022-10-04,22.880846153846157,2.8,47.17892307692308,107.44961538461538,33.74661538461539
2022-10-05,26.642857142857142,2.9285714285714284,46.776785714285715,114.08464285714285,35.05885714285714
2022-10-06,11.933333333333334,2.2,65.65833333333333,89.97600000000001,27.100733333333334
2022-10-07,17.36842105263158,2.3157894736842106,56.69736842105263,47.14578947368421,15.14678947368421
2022-10-08,11.6,2.4,56.875,47.684999999999995,14.7782
2022-10-09,6.666666666666667,2.066666666666667,71.84166666666667,50.327999999999996,15.599666666666668
2022-10-10,9.117647058823529,2.0,69.66911764705883,53.29058823529412,15.286823529411762
2022-10-11,15.923076923076923,2.076923076923077,52.55769230769231,35.35269230769231,13.066692307692307
2022-10-12,10.6,2.3333333333333335,58.791666666666664,34.025999999999996,12.802333333333333
2022-10-13,18.6,2.6666666666666665,55.9,31.416,11.586333333333334
2022-10-14,24.363636363636363,2.909090909090909,48.88636363636363,29.581363636363633,10.720545454545455
2022-10-15,19.941176470588236,3.1176470588235294,53.0,33.853235294117646,13.701941176470587
2022-10-16,15.666666666666666,3.0,53.072916666666664,42.2025,15.605416666666665
2022-10-17,15.857142857142858,2.9285714285714284,48.526785714285715,54.50142857142857,19.59107142857143
2022-10-18,23.058823529411764,3.176470588235294,48.8235294117647,68.95058823529412,20.56864705882353
2022-10-19,24.571428571428573,2.7857142857142856,36.63392857142857,88.21285714285715,25.130785714285715
2022-10-20,12.591769230769232,2.1818181818181817,39.973846153846154,52.68115384615385,15.410769230769231
2022-10-21,13.285714285714286,2.0,41.125,19.462500000000002,5.788928571428571
2022-10-22,12.470588235294118,2.0,29.264705882352942,13.99764705882353,5.588117647058824
2022-10-23,10.3,2.0,39.9625,18.144,7.7512
2022-10-24,15.235294117647058,2.0588235294117645,34.580882352941174,15.458823529411765,6.019764705882353
2022-10-25,23.153846153846153,2.6923076923076925,30.682692307692307,32.35846153846154,12.400692307692308
2022-10-26,27.857142857142858,2.5,26.839285714285715,42.592499999999994,16.483642857142858
2022-10-27,31.466666666666665,3.066666666666667,35.53333333333333,48.456,19.512800000000002
2022-10-28,37.53846153846154,3.230769230769231,37.5,52.08576923076923,21.45823076923077
2022-10-29,23.6,3.2,40.325,47.565000000000005,19.869066666666665
2022-10-30,22.764705882352942,3.0,51.544117647058826,40.39147058823529,18.67735294117647
2022-10-31,29.923076923076923,2.923076923076923,32.94230769230769,42.29653846153846,18.308769230769233
2022-11-01,29.545454545454547,2.6363636363636362,22.78409090909091,54.24136363636364,21.846363636363638
2022-11-02,27.546666666666667,3.066666666666667,34.083333333333336,37.1525,15.374944444444445
2022-11-03,17.066666666666666,2.8666666666666667,37.018800000000006,30.786,13.079199999999998
2022-11-04,20.846153846153847,2.923076923076923,44.73076923076923,17.505,7.583076923076923
2022-11-05,16.833333333333332,3.0833333333333335,38.78125,21.798750000000002,12.053833333333332
2022-11-06,20.875,3.3125,44.8359375,28.0575,16.3058125
2022-11-07,27.266666666666666,3.6,39.13333333333333,30.317999999999998,16.8128
2022-11-08,27.928571428571427,3.0714285714285716,32.75892857142857,38.92064285714286,21.607785714285715
2022-11-09,16.9,2.8,25.5875,30.075599999999998,18.5519
2022-11-10,21.153846153846153,2.769230769230769,33.10576923076923,16.630076923076924,8.323769230769232
2022-11-11,21.928571428571427,3.0714285714285716,31.642857142857142,17.125714285714285,10.2025
2022-11-12,25.333333333333332,3.066666666666667,32.016666666666666,30.593999999999998,14.421933333333333
2022-11-13,18.95,3.0,34.65625,64.27799999999999,21.2221
2022-11-14,16.25,3.0,41.515625,39.088125,16.1870625
2022-11-15,10.294117647058824,2.0,42.02435294117647,20.72911764705882,9.07235294117647
2022-11-16,11.184571428571429,1.2857142857142858,44.044642857142854,7.538928571428571,3.4575
2022-11-17,7.733333333333333,1.4666666666666666,38.108333333333334,8.920733333333335,4.1854
2022-11-18,10.266666666666667,1.4666666666666666,46.71666666666667,7.602,3.1379333333333337
2022-11-19,6.555555555555555,2.0,48.611111111111114,8.91,3.395555555555555
2022-11-20,10.5,2.0,48.78125,9.894375,5.1273125
2022-11-21,15.142857142857142,2.0,25.357142857142858,12.522857142857143,7.420142857142857
2022-11-22,15.642857142857142,2.0,49.19642857142857,13.319999999999999,5.2495714285714286
2022-11-23,10.833333333333334,1.8333333333333333,39.145833333333336,17.7075,6.061833333333333
2022-11-24,19.285714285714285,1.7142857142857142,33.892857142857146,19.98,6.0540714285714285
2022-11-25,18.0,2.0,23.5625,29.93625,10.2659375
2022-11-26,17.333333333333332,2.111111111111111,38.52777777777778,20.255000000000003,10.585222222222221
2022-11-27,18.09090909090909,2.3636363636363638,25.511363636363637,20.049545454545452,11.904818181818182
2022-11-28,16.0,2.0,32.791666666666664,27.3225,17.41658333333333
2022-11-29,21.692307692307693,2.3846153846153846,37.71646153846154,19.17,9.543461538461539
2022-11-30,27.785714285714285,2.642857142857143,28.42607142857143,26.244642857142857,13.716857142857142
2022-12-01,21.642857142857142,2.5714285714285716,24.758928571428573,26.73,15.549785714285715
2022-12-02,24.88235294117647,2.588235294117647,22.102941176470587,31.251176470588234,17.794
2022-12-03,17.916666666666668,2.25,22.979166666666668,27.3,15.53575
2022-12-04,13.294117647058824,2.0,36.77205882352941,24.101470588235294,13.413588235294117
2022-12-05,25.923076923076923,2.0,20.365384615384617,18.63,11.299923076923077
2022-12-06,14.533333333333333,2.0,24.025,17.427,10.7588
2022-12-07,17.529411764705884,2.0,27.191176470588236,13.801764705882352,7.9811764705882355
